id,name
6nfDaffa50mKtEOwR8g4df,GOT7
2dIgFjalVxs4ThymZ67YCE,Stray Kids
2YXlVLKq3X3soXd2aXUtIT,JAMIE
2ZmXexIJAD7PgABrj0qQRb,N.Flying
7LOmc7gyMVMOWF8qwEdn2X,SF9
1sjw4xq2pAWy5Vdgba5QAt,Henry
0ziR2zN0NFcB4x1G3P8cW3,VICTON
5zShiwTHlygdfsXj6eavTu,Golden Child
1pXX6uuufA0Zrk4Ksuh4nv,Jus2
0yvw5zYym2ZnM2vngHvfWW,JJ Project
5DuzBeOgFwViFcv00Q5PFb,WINNER
0eEhOgZ2x6kv8kLz77WO7b,ONF
1vyhD5VmyZ7KMfW5gqLgo5,J Balvin
3PAwspMN27PDm81WwXDsMf,Reykon
4uRH0vTYaGWjG1MK8K8RPE,Dragon & Caballero
0nqpXa8bkBlWgS9FKhNCuj,Golpe a Golpe
2xmhyxkjpGNBeWXVMeVWHb,Rayo & Toby
6tYuW96NhiYI3sAxEDsqK4,Pasabordo
1ykothWH0xl8drRyJWuw7I,Ñejo & Dalmata
3jGlU8UMMo44I2xeLQ6FD3,Dalmata
2DP9xStkVVv753RBiEHXQB,Alkilados
3ptY5WTxu77JpAQQnHyxEl,Yandar & Yostin
4mZ4qW2RrJS1nmHvltMvJ2,Bonka
4RXxwBtdt6k1YNyyAyiOng,Pipe Bueno
1r4hJ1h58CWwUQe3MxPuau,Maluma
2OnKRchqP7tT0FzTvWIFI7,Wolfine
5DUlefCLzVRzNWaNURTFpK,Cali Y El Dandee
329e4yvIujISKGKz1BZZbO,Farruko
3EiLUeyEcA6fbRPSHkG5kb,De La Ghetto
6XFITTl7cFTdopDY3lUdlY,J Alvarez
3E6xrwgnVfYCrCs0ePERDz,Wisin
00me4Ke1LsvMxt5kydlMyU,Cosculluela
2OHKEe204spO7G7NcbeO2o,Ñejo
21451j1KhjAiaYKflxBjr1,Zion & Lennox
4IMAo2UQchVFyPH24PAjUs,Jowell & Randy
3YXpTiyVmYCfANOlnWv6vr,Trebol Clan
3LKXWvXFWrkwUzJWxzwVpW,Tony Dize
4SsVbpTthjScTS7U2hmr1X,Arcangel
1pgDilWYDWLoOgGjf1iHNu,Zion
7tU1VKOuxiNZwBZC6RHidA,Alexis y Fido
2ydZrTy8U3kOMOzx20s3dg,DJ Nelson
5pZE9tgrhmIGWAsJZ7YxNK,Luny Tunes
1SupJlEpv7RS2tPNRaHViT,Nicky Jam
0eHQ9o50hj6ZDNBt6Ys1sD,Yandel
5hhclzZsaNfmBh0eQI44JQ,Magnate Y Valentino
3mqvfyOtukTRmUkZHuP1ed,Erre XI
7zLcnirfgw1VEHHshuGcDR,Eddie Dee
5mgqYTU6dhKlEdi7DOy4uU,Alberto Stylee
3Okcq0dqLVlEFHRZ5t22bA,Voltio
3IEvQoAohcGX7CdrbtIle7,Baby Rasta & Gringo
6ZK8loFAzWKSFe3b7Lrq4V,Nova y Jory
5aB4SpKYteOJ8pAleoKkg7,Hector & Tito
2RbTV4rZYfdNkxFE9SSdG3,NEJO
5K4W6rqBFWDnAN6FQUkS6x,Kanye West
0Y4inQK6OespitzD6ijMwb,Freddie Gibbs
2J257euzcjnDLipsyJH3F2,Clipse
18HVMQsV3tINaTyzT5UIjH,CyHi
6X8WdFjrNhXATMDSs26aCc,Curren$y
0TkqXdyWLsssJH7okthMPQ,Jay Electronica
0g9vAlRPK9Gt3FKCekk4TW,Ab-Soul
3kf0gOpxWtkyeMNJVDQPtd,Smoke DZA
7aA592KWirLsnfb5ulGWvU,Danny Brown
415rtLOb1FDKZAxo1IJ1hW,WZRD
01QTIT5P1pFP3QnnFSdsJf,Lupe Fiasco
3A5tHz1SfngyOZM2gItYKu,Earl Sweatshirt
68kEuyFKyqrdQQLLsmiatm,Vince Staples
2P5sC9cVZDToPxyomzF1UH,Joey Bada$$
1dqGS5sT6PE2wEvP1gROZC,Flatbush Zombies
3s8alQfNnY0roAHaJh7Xxt,Dom Kennedy
7a9KRWdaSZktpGGnWndzbC,Black Hippy
2h93pZq0e7k5yf4dywlkpM,Frank Ocean
73sIBHcqh3Z3NyqHKZ7FOL,Childish Gambino
4V8LLVI7PbaPR0K2TGSxFF,"Tyler, The Creator"
5xpkLC1MxiPRiIJUDEzuVm,Odd Future
1Bl6wpkWCQ4KVgnASpvzzA,BROCKHAMPTON
07EcmJpfAday8xGkslfanE,Kevin Abstract
6vHBuUxrcpn1do5UaEJ7g6,Domo Genesis
7BMccF0hQFBpP6417k1OtQ,Action Bronson
4fpwOzxFRMVGfd197dKIdY,Boldy James
6aaMZ3fcfLv4tEbmY7bjRM,Isaiah Rashad
1anyVhU62p31KFi8MEzkbf,Chance the Rapper
5M0lbkGluOPXLeFjApw8r8,DRAM
0ojcq9LJQWMawQdFDw3M0L,Donnie Trumpet & The Social Experiment
7Hjbimq43OgxaBRpFXic4x,Saba
1EpyA68dKpjf7jXmQL88Hy,Noname
07d5etnpjriczFBB8pxmRe,BJ The Chicago Kid
1FvjvACFvko2Z91IvDljrx,Mick Jenkins
0oBsnAC3fzYkTHF3bkfNx6,Phony Ppl
5CCrgHVEWtg8YTEn1UaYug,MellowHype
4bbjivSh1oG4NOc7uYHfw5,Lil B
6yR6M6V6I7GhhYf6A7Wif9,SpaceGhostPurrp
5RADpgYLOuS2ZxDq7ggYYH,Death Grips
6qqNVTkY8uBg9cP3Jd7DAH,Billie Eilish
